source_system,org_id_source,org_name,org_type,address_line1,city,state,postal_code,country,updated_at,org_name_raw,address_raw,postal_raw
CRM_A,CRM_A_O_ORG_0000_906,Bhalla-Bhalla Clinic,Clinic,63/30 dutt street,Kota,KA,887159,IN,2026-01-05T14:15:07,Bhalla-Bhalla Clinic,"63/30
Dutt Street",887159
CRM_B,CRM_B_O_ORG_0000_420,Bhalla-Bhalla Clnc,Clinic,63/30 dutt street,Kota,KA,887159,IN,2025-10-29T05:46:15,Bhalla-Bhalla Clnc,"63/30
Dutt Street",887159
CRM_A,CRM_A_O_ORG_0001_641,Ram-Sanghvi Clinic,Clinic,99/21 suresh street,Erode,NJ,40332,US,2026-01-27T20:08:45,Ram-Sanghvi Clinic,"99/21
Suresh Street",40332
CRM_B,CRM_B_O_ORG_0001_936,Ram-Sanghvi Clnc,Clinic,99/21 suresh street,Erode,NJ,40332,US,2025-11-18T03:20:48,Ram-Sanghvi Clnc,"99/21
Suresh Street",40332
CRM_A,CRM_A_O_ORG_0002_168,Chaudhary And Sons Diagnostic Center,Diagnostic Center,h.no. 59 goel path,Sikar,AL,43738,US,2025-10-17T08:14:34,Chaudhary and Sons Diagnostic Center,"H.No. 59, Goel Path",43738
CRM_B,CRM_B_O_ORG_0002_687,Chaudhary And Sons Diagnostic Ctr,Diagnostic Center,h.no. 59 goel path,Sikar,AL,43738,US,2025-11-02T02:55:08,Chaudhary and Sons Diagnostic Ctr,"H.No. 59, Goel Path",43738
CRM_A,CRM_A_O_ORG_0003_689,Rao-Dutta Hospital,Hospital,29/59 modi nagar,Aurangabad,IL,24450,US,2025-11-11T07:16:03,Rao-Dutta Hospital,"29/59, Modi Nagar",24450
CRM_B,CRM_B_O_ORG_0003_369,Rao-Dutta Hospital,Hospital,29/59 modi nagar,Aurangabad,IL,24450,US,2025-12-16T21:05:52,Rao-Dutta Hospital,"29/59, Modi Nagar",24450
CRM_B,CRM_B_O_ORG_0003_186,Rao-Dutta Hospital,Hospital,29/59 modi nagar,Aurangabad,IL,24450,US,2025-12-08T12:42:34,Rao-Dutta Hospital,"29/59, Modi Nagar",24450
CRM_A,CRM_A_O_ORG_0004_489,Tara-Patla Clinic,Clinic,63 gill chowk,Erode,MI,35674,US,2025-10-14T05:27:08,Tara-Patla Clinic,"63, Gill Chowk",35674
CRM_B,CRM_B_O_ORG_0004_238,Tara-Patla Clinic,Clinic,63 gill chowk,Erode,MI,35674,US,2026-01-07T17:36:40,Tara-Patla Clinic,"63, Gill Chowk",35674
