provider_id_source,org_id_source,affiliation_type,start_date
CRM_A_P_PROV_00000_567,CRM_B_O_ORG_0349_486,Primary,2024-12-27
CRM_B_P_PROV_00000_970,CRM_A_O_ORG_0359_465,Primary,2021-08-14
CRM_A_P_PROV_00001_370,CRM_B_O_ORG_0044_547,Primary,2024-07-23
CRM_B_P_PROV_00001_177,CRM_B_O_ORG_0399_970,Primary,2023-05-23
CRM_A_P_PROV_00002_699,CRM_A_O_ORG_0316_108,Primary,2024-03-21
CRM_B_P_PROV_00002_562,CRM_B_O_ORG_0136_344,Primary,2024-11-03
CRM_B_P_PROV_00002_562,CRM_B_O_ORG_0119_714,Secondary,2025-01-07
CRM_A_P_PROV_00003_816,CRM_B_O_ORG_0154_810,Primary,2022-09-17
CRM_B_P_PROV_00003_187,CRM_B_O_ORG_0313_219,Primary,2021-01-14
CRM_B_P_PROV_00003_187,CRM_B_O_ORG_0390_113,Secondary,2024-05-15
CRM_B_P_PROV_00003_806,CRM_B_O_ORG_0333_763,Primary,2024-06-19
CRM_A_P_PROV_00004_982,CRM_B_O_ORG_0104_810,Primary,2021-11-13
CRM_B_P_PROV_00004_199,CRM_B_O_ORG_0084_740,Primary,2025-09-05
CRM_A_P_PROV_00005_593,CRM_A_O_ORG_0246_764,Primary,2022-06-03
CRM_A_P_PROV_00005_593,CRM_A_O_ORG_0312_760,Secondary,2025-05-26
CRM_B_P_PROV_00005_894,CRM_A_O_ORG_0160_687,Primary,2021-01-05
CRM_B_P_PROV_00005_894,CRM_B_O_ORG_0346_445,Secondary,2025-11-06
CRM_B_P_PROV_00005_388,CRM_B_O_ORG_0280_599,Primary,2022-02-17
CRM_B_P_PROV_00005_388,CRM_A_O_ORG_0268_246,Secondary,2022-04-20
CRM_A_P_PROV_00006_205,CRM_B_O_ORG_0129_517,Primary,2021-11-30
CRM_B_P_PROV_00006_539,CRM_A_O_ORG_0358_850,Primary,2022-02-27
CRM_B_P_PROV_00006_539,CRM_B_O_ORG_0259_589,Secondary,2021-11-13
CRM_B_P_PROV_00006_133,CRM_B_O_ORG_0301_339,Primary,2023-06-06
CRM_A_P_PROV_00007_444,CRM_A_O_ORG_0367_153,Primary,2024-10-24
CRM_B_P_PROV_00007_202,CRM_A_O_ORG_0118_327,Primary,2023-12-05
CRM_A_P_PROV_00008_440,CRM_A_O_ORG_0021_337,Primary,2023-05-31
CRM_A_P_PROV_00009_449,CRM_A_O_ORG_0182_326,Primary,2025-08-30
CRM_A_P_PROV_00010_566,CRM_A_O_ORG_0106_539,Primary,2024-05-24
CRM_B_P_PROV_00010_336,CRM_B_O_ORG_0175_302,Primary,2023-08-21
CRM_A_P_PROV_00010_104,CRM_B_O_ORG_0378_908,Primary,2022-09-10
CRM_A_P_PROV_00011_486,CRM_A_O_ORG_0167_911,Primary,2024-05-26
CRM_B_P_PROV_00011_254,CRM_A_O_ORG_0003_689,Primary,2024-04-28
CRM_B_P_PROV_00011_254,CRM_A_O_ORG_0296_662,Secondary,2023-09-01
CRM_A_P_PROV_00012_750,CRM_A_O_ORG_0133_175,Primary,2023-12-15
CRM_B_P_PROV_00012_816,CRM_A_O_ORG_0095_135,Primary,2021-07-25
CRM_A_P_PROV_00013_612,CRM_A_O_ORG_0366_583,Primary,2025-10-19
CRM_B_P_PROV_00013_653,CRM_A_O_ORG_0232_164,Primary,2025-06-20
CRM_A_P_PROV_00014_344,CRM_B_O_ORG_0042_932,Primary,2021-06-19
CRM_A_P_PROV_00014_344,CRM_A_O_ORG_0110_874,Secondary,2021-02-18
CRM_B_P_PROV_00014_417,CRM_B_O_ORG_0192_348,Primary,2024-12-14
CRM_A_P_PROV_00015_338,CRM_A_O_ORG_0285_250,Primary,2023-09-02
CRM_B_P_PROV_00015_873,CRM_A_O_ORG_0046_872,Primary,2021-02-01
CRM_B_P_PROV_00015_873,CRM_A_O_ORG_0084_113,Secondary,2022-05-25
CRM_A_P_PROV_00016_409,CRM_A_O_ORG_0275_850,Primary,2023-11-25
CRM_A_P_PROV_00016_409,CRM_B_O_ORG_0079_748,Secondary,2021-07-07
CRM_B_P_PROV_00016_654,CRM_A_O_ORG_0380_278,Primary,2024-09-26
CRM_B_P_PROV_00016_835,CRM_A_O_ORG_0188_612,Primary,2022-12-20
CRM_B_P_PROV_00016_835,CRM_B_O_ORG_0052_993,Secondary,2021-09-15
CRM_A_P_PROV_00017_689,CRM_B_O_ORG_0211_443,Primary,2022-09-08
CRM_B_P_PROV_00017_315,CRM_B_O_ORG_0197_727,Primary,2020-09-24
CRM_A_P_PROV_00018_693,CRM_B_O_ORG_0063_404,Primary,2024-11-19
CRM_B_P_PROV_00018_286,CRM_B_O_ORG_0342_967,Primary,2023-03-15
CRM_A_P_PROV_00019_235,CRM_A_O_ORG_0218_455,Primary,2020-11-20
CRM_A_P_PROV_00020_567,CRM_A_O_ORG_0015_938,Primary,2022-06-03
CRM_B_P_PROV_00020_703,CRM_B_O_ORG_0147_808,Primary,2023-06-07
CRM_A_P_PROV_00021_466,CRM_A_O_ORG_0076_703,Primary,2024-11-28
CRM_B_P_PROV_00021_153,CRM_A_O_ORG_0004_489,Primary,2024-08-25
CRM_B_P_PROV_00021_153,CRM_A_O_ORG_0375_837,Secondary,2021-05-01
CRM_A_P_PROV_00022_123,CRM_A_O_ORG_0333_484,Primary,2024-04-05
CRM_B_P_PROV_00022_796,CRM_B_O_ORG_0009_763,Primary,2025-06-04
CRM_A_P_PROV_00023_295,CRM_A_O_ORG_0081_447,Primary,2022-10-28
CRM_B_P_PROV_00023_832,CRM_A_O_ORG_0024_794,Primary,2021-08-07
CRM_A_P_PROV_00024_371,CRM_B_O_ORG_0055_726,Primary,2022-01-22
CRM_B_P_PROV_00024_692,CRM_B_O_ORG_0127_301,Primary,2022-07-27
CRM_A_P_PROV_00025_458,CRM_B_O_ORG_0050_903,Primary,2022-06-25
CRM_A_P_PROV_00026_520,CRM_B_O_ORG_0328_956,Primary,2020-11-29
CRM_A_P_PROV_00026_520,CRM_B_O_ORG_0242_296,Secondary,2020-11-25
CRM_B_P_PROV_00026_128,CRM_A_O_ORG_0067_129,Primary,2021-02-27
CRM_B_P_PROV_00026_128,CRM_A_O_ORG_0039_879,Secondary,2025-01-29
CRM_A_P_PROV_00027_592,CRM_B_O_ORG_0361_692,Primary,2025-08-03
CRM_A_P_PROV_00027_592,CRM_A_O_ORG_0180_177,Secondary,2025-06-08
CRM_B_P_PROV_00027_894,CRM_B_O_ORG_0259_589,Primary,2021-01-09
CRM_A_P_PROV_00028_263,CRM_A_O_ORG_0336_313,Primary,2022-12-22
