source_system,org_id_source,org_name,org_type,address_line1,city,state,postal_code,country,updated_at,entity_key
CRM_A,CRM_A_O_ORG_0000_906,Bhalla-Bhalla Clinic,Clinic,"63/30
Dutt Street",Kota,KA,887159,IN,2026-01-05T14:15:07,ORG_0000
CRM_B,CRM_B_O_ORG_0000_420,Bhalla-Bhalla Clnc,Clinic,"63/30
Dutt Street",Kota,KA,887159,IN,2025-10-29T05:46:15,ORG_0000
CRM_A,CRM_A_O_ORG_0001_641,Ram-Sanghvi Clinic,Clinic,"99/21
Suresh Street",Erode,NJ,40332,US,2026-01-27T20:08:45,ORG_0001
CRM_B,CRM_B_O_ORG_0001_936,Ram-Sanghvi Clnc,Clinic,"99/21
Suresh Street",Erode,NJ,40332,US,2025-11-18T03:20:48,ORG_0001
CRM_A,CRM_A_O_ORG_0002_168,Chaudhary and Sons Diagnostic Center,Diagnostic Center,"H.No. 59, Goel Path",Sikar,AL,43738,US,2025-10-17T08:14:34,ORG_0002
CRM_B,CRM_B_O_ORG_0002_687,Chaudhary and Sons Diagnostic Ctr,Diagnostic Center,"H.No. 59, Goel Path",Sikar,AL,43738,US,2025-11-02T02:55:08,ORG_0002
CRM_A,CRM_A_O_ORG_0003_689,Rao-Dutta Hospital,Hospital,"29/59, Modi Nagar",Aurangabad,IL,24450,US,2025-11-11T07:16:03,ORG_0003
CRM_B,CRM_B_O_ORG_0003_369,Rao-Dutta Hospital,Hospital,"29/59, Modi Nagar",Aurangabad,IL,24450,US,2025-12-16T21:05:52,ORG_0003
CRM_B,CRM_B_O_ORG_0003_186,Rao-Dutta Hospital,Hospital,"29/59, Modi Nagar",Aurangabad,IL,24450,US,2025-12-08T12:42:34,ORG_0003
CRM_A,CRM_A_O_ORG_0004_489,Tara-Patla Clinic,Clinic,"63, Gill Chowk",Erode,MI,35674,US,2025-10-14T05:27:08,ORG_0004
CRM_B,CRM_B_O_ORG_0004_238,Tara-Patla Clinic,Clinic,"63, Gill Chowk",Erode,MI,35674,US,2026-01-07T17:36:40,ORG_0004
CRM_A,CRM_A_O_ORG_0005_597,Trivedi-Pandya Hospital,Hospital,"H.No. 76
Parmar Marg",Mehsana,OH,55205,US,2025-12-07T09:11:12,ORG_0005
CRM_B,CRM_B_O_ORG_0005_445,Trivedi-Pandya Hospital,Hospital,H.No. 76 Parmar Marg,Mehsana,OH,55205,US,2025-12-11T13:47:55,ORG_0005
CRM_A,CRM_A_O_ORG_0006_194,Agrawal-Nagy Clinic,Clinic,"65/06, Sachdev Chowk",Naihati,UP,491727,IN,2025-11-05T15:54:14,ORG_0006
CRM_B,CRM_B_O_ORG_0006_825,Agrawal-Nagy Clinic,Clinic,"65/06, Sachdev Chowk",Naihati,UP,491727,IN,2026-01-07T00:40:59,ORG_0006
CRM_A,CRM_A_O_ORG_0007_270,Chaudhary LLC Hospital,Hospital,"H.No. 92, Sachar Path",Delhi,PA,36687,US,2025-11-23T13:50:16,ORG_0007
CRM_B,CRM_B_O_ORG_0007_462,Chaudhary LLC Hospital,Hospital,"H.No. 92, Sachar Path",Delhi,PA,36687,US,2025-11-30T23:33:54,ORG_0007
CRM_A,CRM_A_O_ORG_0008_152,Gandhi-Samra Hospital,Hospital,"97
Parikh",Bongaigaon,WA,82810,US,2025-12-26T14:20:39,ORG_0008
CRM_B,CRM_B_O_ORG_0008_641,Gandhi-Samra Hospital,Hospital,"97
Parikh",Bongaigaon,WA,82810,US,2025-10-20T03:36:51,ORG_0008
CRM_A,CRM_A_O_ORG_0009_104,Mistry Ltd Clinic,Clinic,"06
Tripathi Ganj",Dibrugarh,CO,30455,US,2025-12-04T15:20:38,ORG_0009
CRM_B,CRM_B_O_ORG_0009_763,Mistry Ltd Clinic,Clinic,"06
Tripathi Ganj",Dibrugarh,CO,30455,US,2025-11-02T09:05:05,ORG_0009
CRM_A,CRM_A_O_ORG_0010_977,Balay-Merchant Lab,Lab,"27, Acharya Path",Bhopal,VA,61735,US,2026-01-04T15:29:25,ORG_0010
CRM_B,CRM_B_O_ORG_0010_187,Balay-Merchant Lab,Lab,27 Acharya Path,Bhopal,VA,61735,US,2026-01-15T07:49:04,ORG_0010
CRM_A,CRM_A_O_ORG_0011_671,"Dugar, Gole and Natt Pharmacy",Pharmacy,"H.No. 238, Ghosh Nagar",Bilaspur,NX,97936,US,2025-10-09T18:09:33,ORG_0011
CRM_B,CRM_B_O_ORG_0011_225,"Dugar, Gole and Natt Pharmacy",Pharmacy,"H.No. 238, Ghosh Nagar",Bilaspur,NX,97936,US,2025-12-14T15:02:51,ORG_0011
CRM_A,CRM_A_O_ORG_0012_566,"Raja, Desai and Tailor Hospital",Hospital,"514
Shetty Circle",Gudivada,PA,28129,US,2026-02-19T03:16:00,ORG_0012
CRM_A,CRM_A_O_ORG_0013_888,Chand-Murty Hospital,Hospital,"954, Khosla Path",Rajahmundry,WB,855018,IN,2026-01-03T13:02:31,ORG_0013
CRM_B,CRM_B_O_ORG_0013_525,Chand-Murty Hospital,Hospital,"954, Khosla Path",Rajahmundry,WB,855018,IN,2025-10-31T21:17:03,ORG_0013
CRM_A,CRM_A_O_ORG_0014_385,"Karan, Narula and Tella Lab",Lab,"99/91
Palan Marg",Karnal,MA,43177,US,2025-10-17T05:28:21,ORG_0014
CRM_B,CRM_B_O_ORG_0014_873,"Karan, Narula and Tella Lab",Lab,"99/91
Palan Marg",Karnal,MA,43177,US,2026-01-21T07:22:50,ORG_0014
CRM_A,CRM_A_O_ORG_0015_938,"Nori, Dhar and Deol Clinic",Clinic,"51/209
Bhatti Nagar",Mehsana,WB,889303,IN,2025-12-07T13:10:45,ORG_0015
CRM_B,CRM_B_O_ORG_0015_293,"Nori, Dhar and Deol Clinic",Clinic,"51/209
Bhatti Nagar",Mehsana,WB,889303,IN,2025-11-14T14:18:50,ORG_0015
CRM_A,CRM_A_O_ORG_0016_581,"Mittal, Shankar and Krish Pharmacy",Pharmacy,"H.No. 149, Khare Marg",Bhusawal,NY,76782-3726,US,2025-12-05T04:07:39,ORG_0016
CRM_B,CRM_B_O_ORG_0016_435,"Mittal, Shankar and Krish Pharmacy",Pharmacy,"H.No. 149, Khare Marg",Bhusawal,NY,76782-3726,US,2025-11-08T10:02:15,ORG_0016
CRM_A,CRM_A_O_ORG_0017_659,Char Inc Pharmacy,Pharmacy,"04/596
Sethi Zila",Ghaziabad,UP,622993,IN,2025-10-21T21:52:08,ORG_0017
CRM_B,CRM_B_O_ORG_0017_210,Char Inc Pharmacy,Pharmacy,"04/596
Sethi Zila",Ghaziabad,UP,622993,IN,2025-12-19T16:09:07,ORG_0017
CRM_B,CRM_B_O_ORG_0017_663,Char Incorporated Pharmacy,Pharmacy,"04/596
Sethi Zila",Ghaziabad,UP,622993,IN,2025-11-15T14:21:45,ORG_0017
CRM_A,CRM_A_O_ORG_0018_577,Pathak PLC Pharmacy,Pharmacy,"H.No. 83
Mannan Road",Ghaziabad,AZ,53983-5148,US,2025-10-26T03:44:31,ORG_0018
CRM_B,CRM_B_O_ORG_0018_650,Pathak PLC Pharmacy,Pharmacy,"H.No. 83
Mannan Road",Ghaziabad,AZ,53983-5148,US,2026-01-08T17:24:07,ORG_0018
CRM_B,CRM_B_O_ORG_0018_340,Pathak PLC Pharmacy,Pharmacy,"H.No. 83
Mannan Road",Ghaziabad,AZ,53983-5148,US,2025-12-01T03:03:38,ORG_0018
CRM_A,CRM_A_O_ORG_0019_637,"Mahajan, Ganguly and Chakraborty Diagnostic Center",Diagnostic Center,"42/084, Varkey Zila",Bongaigaon,MA,83700,US,2026-01-17T18:54:46,ORG_0019
CRM_B,CRM_B_O_ORG_0019_949,"Mahajan, Ganguly and Chakraborty Diagnostic Center",Diagnostic Center,"42/084, Varkey Zila",Bongaigaon,MA,83700,US,2026-01-12T18:45:00,ORG_0019
CRM_A,CRM_A_O_ORG_0020_157,"Ray, Nagi and Madan Hospital",Hospital,"87, Nair Street",Visakhapatnam,MH,219248,IN,2025-10-29T04:05:54,ORG_0020
CRM_B,CRM_B_O_ORG_0020_316,"Ray, Nagi and Madan Hospital",Hospital,"87, Nair Street",Visakhapatnam,MH,219248,IN,2025-10-26T14:55:59,ORG_0020
CRM_A,CRM_A_O_ORG_0021_337,"Prakash, Mukhopadhyay and Dar Lab",Lab,"H.No. 909
Shankar Ganj",Sultan Pur Majra,TS,900690,IN,2025-12-17T07:50:20,ORG_0021
CRM_B,CRM_B_O_ORG_0021_599,"Prakash, Mukhopadhyay and Dar Lab",Lab,H.No. 909 Shankar Ganj,Sultan Pur Majra,TS,900690,IN,2025-11-27T09:01:28,ORG_0021
